,address,area,beds,full_bathrooms,half_bathrooms,price
0,"2822 W Coronado, Phoenix, AZ 85009",,2 beds,1 ,,"$300,000"
1,"1456 E Mulberry Street, Phoenix, AZ 85014","1,950 sq.ft.",4 beds,,,"$750,000"
2,"1402 E Briarwood Terrace, Phoenix, AZ 85048","2,061 sq.ft.",4 beds,,,"$599,000"
3,"19601 N 7TH Street 1042, Phoenix, AZ 85024","1,184 sq.ft.",3 beds,3 ,,"$329,900"
4,"5557 W BUCKSKIN Trail, Phoenix, AZ 85083","1,705 sq.ft.",4 beds,2 ,,"$524,900"
5,"3132 E Highland Avenue, Phoenix, AZ 85016","2,362 sq.ft.",3 beds,,,"$1,450,000"
6,"316 E El Camino Drive, Phoenix, AZ 85020","1,927 sq.ft.",3 beds,3 ,,"$749,500"
7,"4709 E OSBORN Road, Phoenix, AZ 85018","2,332 sq.ft.",4 beds,2 ,,"$910,000"
8,"1030 E BETHANY HOME Road 108, Phoenix, AZ 85014","1,378 sq.ft.",2 beds,2 ,,"$367,000"
9,"7730 W PIPESTONE Place, Phoenix, AZ 85035","1,537 sq.ft.",3 beds,3 ,,"$375,900"
10,"4045 E EARLL Drive, Phoenix, AZ 85018","2,155 sq.ft.",3 beds,2 ,,"$1,149,999"
11,"2425 E OREGON Avenue, Phoenix, AZ 85016","1,596 sq.ft.",2 beds,2 ,,"$1,125,000"
12,"48407 N 27TH Avenue, New River, AZ 85087","5,595 sq.ft.",6 beds,4 ,,"$1,249,900"
13,"3247 E KERRY Lane, Phoenix, AZ 85050","1,370 sq.ft.",3 beds,2 ,,"$442,000"
14,"7623 W EARLL Drive, Phoenix, AZ 85033","1,779 sq.ft.",4 beds,2 ,,"$429,900"
15,"1102 E BROWN Street, Phoenix, AZ 85020","2,041 sq.ft.",3 beds,2 ,,"$815,000"
16,"39212 N 3RD Avenue, Phoenix, AZ 85086","2,664 sq.ft.",4 beds,3 ,,"$592,999"
17,"5250 E DEER VALLEY Drive 256, Phoenix, AZ 85054","1,777 sq.ft.",2 beds,3 ,,"$1,095,000"
18,"22825 N 54TH Street, Phoenix, AZ 85054","3,604 sq.ft.",5 beds,4 ,,"$1,496,000"
